ccaa;gender;diputado;grupo;partido;provincia;legislatura;cargo;handle;;twitter account;;;
AST;1;Fernández González, María Mercedes ;GP Popular;PP;ÚNICA;X;;;;cherines_pp;;;
AST;0;Fernández Vilanova, Andrés ;Podemos Asturies;PODEMOS;ÚNICA;X;;;;andrespuela;;;
AST;1;García Fernández, María Gloria ;GP Popular;PP;ÚNICA;X;;;;GloriaGarciaFdz;;;
AST;0;García Fernández, Nicanor ;GP Ciudadanos;CIUDADANOS;ÚNICA;X;;;;CanorGarcia;;;
AST;1;Gil Álvarez, Lorena María ;Podemos Asturies;PODEMOS;ÚNICA;X;;;;LorenaGilAlvarz;;;
AST;1;Gómez Alonso, María Fe ;GP Popular;PP;ÚNICA;X;;;;;;;
AST;0;González Medina, David ;GP Popular;PP;ÚNICA;X;;;;medina_dg;;;
AST;0;Gutiérrez Escandón, José Marcos ;GP Socialista;PSOE;ÚNICA;X;;;;;;;
AST;0;Gutiérrez García, Jesús ;GP Socialista;PSOE;ÚNICA;X;;;;chushueria;;;
AST;0;Lastra Valdés, Fernando ;GP Socialista;PSOE;ÚNICA;X;;;;;;;
AST;0;Leal Llaneza, Pedro ;GP Foro Asturias;FORO ASTURIAS;ÚNICA;X;Secretario Primero;;;;;;
AST;0;León Suárez, Emilio José ;Podemos Asturies;PODEMOS;ÚNICA;X;;;;eleonsuarez;;;
AST;0;Llamazares Trigo, Gaspar ;Izquierda Unida;IU;ÚNICA;X;;;;Gllamazares;;;
AST;0;López Hernández, Enrique ;Podemos Asturies;PODEMOS;ÚNICA;X;;;;kikecuto;;;
AST;0;Marcos Líndez, Marcelino ;GP Socialista;PSOE;ÚNICA;X;;;;Marcelotineo;;;
AST;0;Marí Ripa, Daniel ;Podemos Asturies;PODEMOS;ÚNICA;X;;;;Daniel_Ripa;;;
AST;1;Masa Noceda, María Concepción ;Izquierda Unida;IU;ÚNICA;X;;;;;;;
AST;1;Miranda Fernández, María Josefa ;Izquierda Unida;IU;ÚNICA;X;Vicepresidenta primera;;;maria_mirandaf;;;
AST;1;Montejo Arnaiz, Lucía ;Podemos Asturies;PODEMOS;ÚNICA;X;;;;LuciaMontejo;;;
AST;1;Pérez García, Elsa ;GP Socialista;PSOE;ÚNICA;X;;;;Elsapola;;;
AST;1;Pérez García de la Mata, María del Carmen ;GP Popular;PP;ÚNICA;X;;;;;;;
AST;1;Pérez Ordieres, Carmen Eva ;GP Socialista;PSOE;ÚNICA;X;;;;carmenevaperez;;;
AST;0;Piernavieja Cachero, Héctor ;Podemos Asturies;PODEMOS;ÚNICA;X;;;;Hpata;;;
AST;1;Pulgar García, Marta ;Izquierda Unida;IU;ÚNICA;X;;;;;;;
AST;0;Rodríguez Feito, Matías ;GP Popular;PP;ÚNICA;X;;;;;;;
AST;1;Sánchez Martín, Diana María ;GP Ciudadanos;Ciudadanos-Partido de la Ciudadanía;ÚNICA;X;;;;;;;
AST;0;Sanjurjo González, Pedro ;GP Socialista;PSOE;ÚNICA;X;Presidencia de la Cámara;;;;;;
AST;0;Suárez Alonso, Carlos José ;GP Popular;PP;ÚNICA;X;;;;carlosjsuarez_j;;;
AST;0;Torre Canto, Marcelino ;GP Socialista;PSOE;ÚNICA;X;;;;NinoTorreC;;;
AST;1;Valero Sáez, Paula ;Podemos Asturies;PODEMOS;ÚNICA;X;;;;PaulaValeroJgpa;paulavalerosaez;;
AST;1;Vega González, Margarita Isabel ;GP Socialista;PSOE;ÚNICA;X;;;;;;;
AST;0;Venta Cueli, Luis Miguel ;GP Popular;PP;ÚNICA;X;;;;Venta_Cueli;;;
AST;1;Vior Martínez, Verónica ;GP Socialista;PSOE;ÚNICA;X;;;;ViorMrtnez;;;
AST;0;Zapico González, Ovidio;Izquierda Unida;IU;ÚNICA;X;;;;ovizapico;;;
MAD;1;Aboín Aboín, Sonsoles Trinidad ;GP Popular;PP;ÚNICA;X;;;;;;;
MAD;1;Adrados Gautier, Paloma ;GP Popular;PP;ÚNICA;X;Presidenta de la Asamblea;;;palomaadrados;;;
MAD;1;Álvarez Padilla, Mª Nadia ;GP Popular;PP;ÚNICA;X;;;;MalvarezNadia;;;
MAD;0;Arribas Del Barrio, José Mª ;GP Popular;PP;ÚNICA;X;;;;JAB_CHEMA;;;
MAD;1;Barbero Martín, Ana Belén ;GP Popular;PP;ÚNICA;X;;;;;;;
MAD;0;Berzal Andrade, José Manuel ;GP Popular;PP;ÚNICA;X;;;;;;;
MAD;1;Busó Borús, Pilar ;GP Popular;PP;ÚNICA;X;;;;BusoBorus;INACTIVO;;
MAD;1;Camíns Martínez, Ana ;GP Popular;PP;ÚNICA;X;;;;anacamins;;;
MAD;1;Carballedo Berlanga, Mª Eugenia ;GP Popular;PP;ÚNICA;X;;;;;;;
MAD;1;Cifuentes Cuencas, Cristina;GP Popular;PP;ÚNICA;X;;;;ccifuentes;;;
MAD;1;Delgado De Robles Sanguino, María De Las Mercedes ;GP Popular;PP;ÚNICA;X;;;;;;;
